Sentences,E,G,S,I
"Với hơn 700 phòng giao dịch tại 63 tỉnh thành, Bảo Việt cung cấp sản phẩm tới người dân trên cả nước, tạo việc làm cho khoảng 200 chi nhánh, đồng thời góp phần vào sự tăng trưởng của các nhà cung cấp địa phương và đóng góp ngân sách địa phương.",0,0,1,0
Sự kiện đặc biệt này sẽ được tổ chức tại Hồ Tràm nhằm thúc đẩy trao đổi văn hóa và giao lưu giữa những người tham gia.,0,1,0,0
Khối lượng riêng của dầu diesel từ 820 đến 860 kg/m³ (QCVN 01:2015/BKHCN).,0,0,0,1
"Phạm vi bảo hiểm toàn diện mang lại nhiều lợi ích cho xã hội, đặc biệt là với các nhóm dân số dễ bị tổn thương như trẻ em và những cá nhân vẫn còn phụ thuộc vào người khác, có thể được coi là đối tượng ưu tiên trong cộng đồng.",0,0,1,0
"Năm 2023, những hoạt động truyền thông nội bộ nổi bật của Vinamilk bao gồm: Kênh YouTube dành riêng cho tin tức nội bộ ""Vững mạnh - Gắn kết"" đã có hơn 10 triệu lượt xem; Tổ chức thành công hội nghị nhân viên tại Phú Quốc với sự tham dự của gần 2.000 cán bộ, người lao động và các hoạt động thể thao văn hóa như bóng chuyền bãi biển, yoga",0,1,0,0
"Ngoài ra, Công đoàn Vinamilk còn tổ chức thành công hội nghị tôn vinh những cá nhân tiêu biểu của tập đoàn trong năm 2018 và thực hiện chương trình trao nhà tình nghĩa cho các gia đình chính sách tại tỉnh Bắc Kạn.",0,1,0,0
"Hàng chục nghìn lượt người cao tuổi tại mười tỉnh thành được thăm khám miễn phí bởi đội ngũ các bác sĩ và chuyên gia tư vấn dinh dưỡng từ An Khang, với một chương trình diễn ra suốt cuối năm nay.",0,0,0,1
Tốt nhất là xem xét từng phần của câu để kiểm tra các lỗi tiềm ẩn và điều chỉnh nếu cần thiết.,0,0,0,1
"Câu nên được viết lại là: ""Theo thông lệ ngành, luật pháp và các chuẩn mực hành nghề, cũng như các hiệp hội chuyên môn mà bảo hiểm Bảo Việt đã tham gia.""",0,0,0,1
"Do đó, thực hiện trách nhiệm xã hội là trọng tâm hướng tới của chúng tôi.",0,0,1,0
"Trước khi đi vào quá trình sản xuất, vật liệu phải trải qua một cuộc thẩm định khác về chất lượng và các thông số kỹ thuật cho sự an toàn của môi trường.",1,0,0,0
"Việc ngăn chặn thành công đại dịch giúp nước ta trở thành địa chỉ tin cậy và điểm đến tiềm năng cho các nhà đầu tư nước ngoài cũng như sự phân bổ lại dòng vốn toàn cầu, đặc biệt là xu hướng chuyển dịch nhà máy sản xuất ra khỏi Trung Quốc của các tập đoàn trên thế giới.",0,0,0,1
"Bằng cách phối hợp với nhau, Vinamilk cam kết hỗ trợ lâu dài cho Liên đoàn Phụ sản Việt Nam như là cơ sở của việc nuôi dưỡng một thế hệ khỏe mạnh và hướng tới sự phát triển của một Việt Nam hùng cường hơn nữa.",0,0,0,1
"Trong lĩnh vực chăm sóc sức khỏe, Vinmec đi đầu trong việc triển khai các công nghệ hiện đại và thực hành tân tiến nhất ở Việt Nam.",0,0,1,0
"Các tổ chức phải liên tục theo dõi các tác động về môi trường của hoạt động kinh doanh thông qua việc quản lý chất thải hiệu quả, giảm thiểu tiêu thụ vật liệu và năng lượng cũng như thực hiện các biện pháp sử dụng nước bền vững trong quá trình xây dựng và vận hành dự án.",0,1,0,0
"Kiểm tra, giám sát các khoản phải thu, chi phí, nghĩa vụ nộp thuế và thanh toán nợ; kiểm tra quản lý và sử dụng tài sản cũng như nguồn hình thành tài sản; phát hiện và ngăn ngừa những hành vi vi phạm luật về tài chính-kế toán.",0,1,0,0
"Khám sức khoẻ định kỳ được thực hiện hàng năm cho nhân viên, tối thiểu một lần trong thời gian thử việc.",0,0,1,0
"Nâng cao nhận thức về các sáng kiến ​​bảo tồn môi trường đối với nhân viên, như thực hành tiết kiệm năng lượng, là điều cần thiết để tạo ra một chiến dịch truyền thông nội bộ thành công tại SSI.",0,0,1,0
Chỉ những khoản dự trữ có thể được hoàn nhập đến mức tối đa như giá gốc của các chứng khoán này cho đến khi lãi hoặc lỗ do bán chứng khoán nắm giữ để bán sẽ được ghi nhận trong báo cáo kết quả kinh doanh.,0,0,0,1
"Biện pháp bảo mật của chúng tôi nhằm đảm bảo rằng tất cả những người tham gia đều nhận thức đầy đủ về tác động đến sức khoẻ, an toàn cũng như sự tuân thủ theo quy định trong quá trình thực hiện nhiệm vụ của mình.",0,0,0,1
Triển khai đánh giá tác động môi trường (EIA) đối với mọi dự án trong giai đoạn thực hiện.,1,0,0,0
"Dựa trên kết quả đánh giá, chúng ta sẽ xem xét và điều chỉnh kế hoạch tăng trưởng nghề nghiệp cho mỗi nhân viên để phản ánh những tiến bộ hiện tại.",0,0,1,0
"519 đô la Mỹ, tương đương với 80% mức lương bình quân tối thiểu của khu vực.",0,0,0,1
"Con người: Những sai lầm do con người gây ra, lừa đảo, hoặc vi phạm thủ tục tiêu chuẩn của công ty.",0,0,0,1
"Trong suốt năm, các khoản đầu tư ngắn hạn tăng chủ yếu là do thu nhập ròng trước thuế tích cực của PNJ.",0,0,0,1
Tỷ lệ điện năng được cung cấp bởi năng lượng tái tạo so với mức tiêu thụ điện là 10%.,1,0,0,0
"STK vẫn có thể giữ những đơn đặt hàng giá trị gia tăng cao từ những khách hàng cao cấp của mình nhờ vào sự tin tưởng lâu dài của khách hàng trong kỹ thuật sản xuất các sản phẩm giá trị gia tăng và dịch vụ khách hàng xuất sắc (thời gian giao hàng nhanh, dịch vụ trước và sau khi mua hàng).",0,0,1,0
"Tình trạng tài chính của công ty được đầu tư, dòng tiền dự án và báo cáo thu nhập từ việc xem xét các mục tiêu lợi nhuận ròng, tỷ suất hoàn vốn nội tại (IRR) và điểm hòa vốn.",0,0,0,1
"Nâng cao cơ hội kết nối mạng lưới chuyên môn, các chương trình cố vấn, phát triển nghề nghiệp và khám phá khả năng cá nhân của bạn.",0,0,0,1
"Thực hành này cung cấp cho nguồn nhân lực Bảo Việt các kỹ năng cần thiết để thích nghi với những thay đổi môi trường và đáp ứng yêu cầu tổ chức khi thực hiện mục tiêu chiến lược của nó, đặc biệt là trong bối cảnh cách mạng công nghiệp lần thứ tư.",1,0,0,0
"Dựa trên chiến lược cấp cao của tập đoàn, mỗi công ty con PL thiết lập các quy trình và hướng dẫn về an ninh thông tin độc đáo dựa trên lĩnh vực chuyên môn của họ.",0,0,0,1
Thông tin rõ ràng là cung cấp cho khách hàng về sản phẩm và nguồn cung ứng vật tư của chúng tôi.,0,0,1,0
"Ông Yeo có bằng Cử nhân về Khoa học Ứng dụng (Công nghệ Công nghiệp) và là Tiến sĩ danh dự của Kỹ sư, từ Đại học Toronto ở Canada.",0,0,0,1
"Trong số những công ty này có Coteccons và Unicons, cả hai đều được coi là một trong những công ty tốt nhất tại Việt Nam.",0,0,0,1
"Doanh thu của Vicostone chủ yếu được tạo ra thông qua xuất khẩu, vì vậy hiệu quả kinh doanh và kết quả tài chính của công ty phụ thuộc đáng kể vào hoạt động kinh doanh ở các thị trường chiến lược.",0,0,0,1
Các chuyên gia có trình độ đại học hoặc sau đại học liên tục chiếm ưu thế hơn 84% trong lực lượng lao động.,0,0,1,0
"Ngoài ra, Ngân hàng TMCP Á Châu (ACB) cũng như các đơn vị liên quan đã chủ động triển khai số hóa nhiều chương trình và quy trình cho vay từ năm 2020.",0,0,0,1
"Các vấn đề này được đánh giá dựa trên tầm quan trọng đối với các bên liên quan và tác động đến sự thành công trong kinh doanh của tập đoàn, cho phép chúng ta ưu tiên các mục tiêu hành động và phân bổ tài nguyên một cách hiệu quả.",0,0,0,1
"Thực hiện hệ thống quản lý tài liệu an ninh, y tế và môi trường (HSMT) của Tập đoàn Dầu khí Việt Nam bao gồm một chính sách HSMT, sổ tay và 25 hướng dẫn trong lĩnh vực HSMT-PCCC.",0,1,0,0
"Tại Việt Nam, PLC thể hiện sự cống hiến cao độ trong việc theo đuổi ESG nhưng vẫn thận trọng khi bắt tay vào hành trình này: Người tiêu dùng, nhà đầu tư và nhân viên là những động lực chính thúc đẩy cam kết thực hiện các sáng kiến về môi trường, xã hội và quản trị của công ty.",0,1,0,0
"Tại Tập đoàn Bảo Việt, con người là tài sản quý giá nhất của công ty và họ được coi như những nhân tố quan trọng đối với sự thành công.",0,0,0,1
Tạo công ăn việc làm và đóng góp vào tăng trưởng kinh tế là rất quan trọng đối với phúc lợi xã hội.,0,0,1,0
"Cùng với sự lãnh đạo hiệu quả của Công ty TNHH Bất động sản Novaland, các cá nhân phải thể hiện tính chính trực, chuyên nghiệp cao độ để đảm bảo tăng trưởng mạnh mẽ và bền vững trong vòng năm năm tới.",0,1,0,0
Ông cũng là đại diện duy nhất của Việt Nam trong số chín vận động viên đội Toyota Châu Á tham gia Đội tuyển Toyota toàn cầu gồm các vận động viên từ khắp nơi trên thế giới để đạt được mục tiêu chinh phục các giải đấu quốc tế - Thế vận hội Paris (26-31 tháng 7 đến ngày 11 tháng 8 năm 2024) và Paralympic Paris (28/8 đến ngày 8/9 / 2024).,0,0,0,1
"Bao gồm mười thành viên, bao gồm hai thành viên độc lập và bốn thành viên Hội đồng quản trị, nhiệm vụ là giám sát sự quản lý của Ủy ban điều hành về việc xử lý các loại rủi ro có thể gây nguy hiểm cho hoạt động kinh doanh của ACB.",0,1,0,0
"80 Với chiến lược phát triển bền vững được đặt ra, đảm bảo lợi ích của các bên liên quan trong sự phát triển của Tập đoàn, chúng tôi xác lập yêu cầu tạo lập chia sẻ các giá trị chung thông qua hoạt động kinh doanh hiệu quả, việc làm ổn định và cung cấp sản phẩm và dịch vụ tốt cho cộng đồng và xã hội.",0,0,1,0
"Để nâng cao hiệu quả hoạt động kiểm soát và quản lý rủi ro, chúng tôi sẽ thiết kế một phần mềm đào tạo tuân thủ dựa trên web để đảm bảo tất cả nhân viên đều có thể truy cập dễ dàng vào các quy định pháp luật cũng như chính sách nội bộ của công ty.",0,1,0,0
Là Ủy viên Hội đồng quản trị Hiệp hội Bông Sợi Việt Nam (VCOSA) tham dự.,0,1,0,0
"Do việc áp dụng luật và quy định về thuế đối với các loại nghiệp vụ khác nhau có thể được giải thích theo nhiều cách, số thuế thể hiện trong báo cáo tài chính hợp nhất có thể thay đổi theo quyết định cuối cùng của cơ quan thuế.",0,0,0,1
"Phương pháp hao mòn theo chiều dài do Ngân hàng áp dụng trong việc đánh giá khấu trừ giá trị bất động sản cho thuê là như nhau đối với tất cả các tài sản, bất kể thời gian được sử dụng đất hoặc lịch sử sở hữu trước đó của chúng.",0,0,0,1
Đảm bảo duy trì một vị thế hàng đầu về tái phân bổ trở lại nền kinh tế từ các khoản phí bảo hiểm.,0,0,0,1
"Để đạt được các biện pháp giảm thiểu biến đổi khí hậu hiệu quả và bền vững hơn, chúng ta cần phải khám phá và áp dụng những phương pháp tiếp cận sáng tạo như nền kinh tế tuần hoàn, bao gồm việc giảm lãng phí thức ăn bằng cách tái sử dụng hoặc tái chế thực phẩm thừa.",1,0,0,0
"Theo báo cáo mới nhất, tổng lượng phát thải khí nhà kính (GHG) từ các hoạt động của Tập đoàn Vingroup trong phạm vi 2 năm 2023 đạt khoảng 587.000 tấn CO2e, như được chỉ ra bởi Hình 10.",1,0,0,0
Họ cũng lên kế hoạch chủ động cho những sự kiện bất ngờ như thiên tai hoặc khủng hoảng bằng cách phát triển các kịch bản ứng phó khi cần thiết.,0,1,0,0
"""Xây dựng hệ thống đánh giá định lượng rủi ro liên quan đến biến đổi khí hậu đối với cơ sở hạ tầng dầu khí ngoài khơi"".",1,0,0,0
"Ngoài ra còn có những đặc điểm quan trọng trong việc chuyển đổi giáo dục theo hệ thống chất lượng quốc tế, chăm sóc sức khỏe, giao thông công cộng sang mô hình không vì lợi nhuận và thành lập các quỹ phi lợi nhuận để phục vụ xã hội.",0,0,1,0
"Trong năm 2023, chúng tôi tập trung vào những trọng tâm và sáng kiến sau đây như đã nêu trong báo cáo của Tổng giám đốc, bắt đầu từ trang 11 đến trang 16: (1) Giảm dư nợ tín dụng riêng Ngân hàng theo quy định của Ngân hàng Nhà nước; (2) Nợ nhóm 3-5 của ngân hàng mẹ không tính ảnh hưởng CIC.",0,0,0,1
"Trong quá trình hoạt động của VinFast, nước làm mát thải được xử lý sơ bộ và quay trở lại quy trình sản xuất, giúp giảm tiêu thụ nước đầu vào.",0,0,0,1
Áp dụng tiêu chuẩn ISO 14001:2015 cho các nhà sản xuất và công ty điện lực để tạo ra và cung ứng trên mạng lưới điện quốc gia.,0,0,0,1
"Câu được viết lại phải là: ""Đảm bảo nguồn nhân lực đủ về số lượng, phù hợp với cơ cấu và có trình độ chuyên môn cao trong các lĩnh vực kinh doanh cốt lõi, đồng thời có năng lực ứng dụng chuyển đổi kỹ thuật số trong quản lý và hoạt động."" Giải thích: Trong câu gốc, một số lỗi ngữ pháp đã được xác định",0,0,0,1
"Thay thế ""cơ cấu hợp lý và có trình độ chuyên môn cao trong lĩnh vực kinh doanh cốt lõi của họ."" thành 'đội ngũ phù hợp với cơ cấu và được đào tạo về các ngành nghề chính'",0,0,0,1
"Thường xuyên theo dõi và kiểm soát chất lượng không khí, đảm bảo hệ thống lọc phù hợp với loại hình sản xuất của xưởng.",1,0,0,0
"Các nhà cung cấp đạt mức ""điểm cao"" (90%) sẽ được đánh giá hai năm một lần; những người đạt mức ""trung bình"" (75% đến 90%) sẽ được đánh giá hàng năm; và những ai chỉ đạt mức ""cơ bản"" (55% đến 75 %) sẽ được đánh giá sáu tháng một lần.",0,0,1,0
"Tại trụ cột A, VinFast đã nhận được giấy phép môi trường từ Bộ Tài nguyên và Môi trường số 224/GPMT-BTNMT cho các dự án xây dựng cơ sở xử lý tại Tổ hợp nhà máy sản xuất Vinfast (Hải Phòng).",1,0,0,0
"Tập đoàn Bảo Việt là một trong những công ty hàng đầu của đất nước đi tiên phong trong nghiên cứu và tìm kiếm các cơ hội hỗ trợ tài chính nhằm thúc đẩy tăng trưởng bền vững thông qua việc giảm phát thải khí nhà kính, ô nhiễm môi trường, sản xuất xanh.",1,0,0,0
"Novaland áp dụng luật định và yêu cầu của các cơ quan quản lý về tiêu chuẩn xanh và bền vững, luôn được tập trung và quán triệt từ giai đoạn tìm kiếm lựa chọn dự án đầu tư đến việc thẩm tra phê duyệt các bản vẽ thi công xây dựng.",1,0,0,0
Các cơ sở dữ liệu về các yếu tố này bao gồm thông tin và báo cáo theo dõi môi trường cũng như giám sát an toàn lao động hàng quý từ một số đơn vị liên kết.,0,1,0,0
"Theo ý kiến của tôi, nếu kết quả kinh doanh không có tác động tích cực đến con người, chúng sẽ trở nên vô nghĩa.",0,0,0,1
"Ngoài ra, để tăng cường hiệu quả của việc quản trị Rủi ro tín dụng (QTRR), các hoạt động đào tạo nâng cao nhận thức về rủi ro và phòng ngừa rủi ro tiếp tục được tiến hành phổ biến rộng rãi đến toàn bộ nhân viên trong Công ty bằng nhiều hình thức khác nhau.",0,1,0,0
"Tỷ lệ chưa tham gia bảo hiểm bắt nguồn từ những người mới sinh con, bị bệnh hay gặp sự cố khẩn cấp khác.",0,0,0,1
Điều này sẽ giúp thúc đẩy một môi trường an toàn hơn trong tổ chức của chúng tôi.,0,1,0,0
"Tại Trụ cột B, Thương mại với Dịch vụ, các công ty PL luôn tổ chức các khóa đào tạo nội bộ, các chương trình nâng cao năng lực của người quản lý, huấn luyện và phát triển nhóm lãnh đạo tiềm năng tiếp theo.",0,1,0,0
"Thông qua việc xây dựng những tình huống giả định và nhận diện sớm những rủi ro tiềm ẩn, chúng tôi sẽ giúp Techcombank chuẩn bị cho mình một vị trí chủ động để đối mặt với các thách thức cũng như các nguy cơ có thể phát sinh trong quá trình hoạt động.",0,0,0,1
"Ngoài ra, Tập đoàn cũng phối hợp với các bộ ngành khác trong quá trình xây dựng và hoàn thiện tài liệu hướng dẫn quản lý ATSKMT tại lĩnh vực cụ thể của mình.",1,0,0,0
Công ty sẽ ưu tiên tập trung vào các ngành kinh doanh cốt lõi trong tương lai gần.,0,0,0,1
"Câu đã sửa đổi: ""Tại Vinhomes, họ sử dụng các nguyên liệu bền vững trong việc xây dựng công trình nhằm giảm thiểu phát thải carbon.""",1,0,0,0
"Rất may, chúng tôi đã nhận được rất nhiều phản hồi tích cực, cho phép chúng ta mang lại các thành phần tươi mát và lành mạnh nhất đến khách hàng của mình.",0,0,1,0
Kết quả là một môi trường làm việc hiện đại và năng động phù hợp với lực lượng lao động trẻ trung mới mẻ.,0,1,0,0
Việc triển khai các công nghệ giám sát tiên tiến trong tiêu thụ và xử lý chất thải có thể góp phần đáng kể vào việc giảm thiểu tác động tiêu cực đến môi trường tổng thể của quá trình sản xuất.,0,1,0,0
"Đồng thời, nó cũng sẽ đảm bảo rằng việc trao đổi thông tin phải có trách nhiệm, phù hợp với nhu cầu thiết yếu của tất cả mọi người và toàn diện về mặt nội dung.",0,0,0,1
"Một minh chứng cho sự cam kết này là hình ảnh xác định thương hiệu mới, bao gồm logo Coteccons có sáu màu chính Pantone.",0,0,0,1
"Với cam kết không ngừng nâng cao chất lượng của chúng tôi, hợp tác và đổi mới, AES đã phát triển một lực lượng lao động hùng hậu theo đuổi các tiêu chuẩn an ninh cao nhất.",0,0,1,0
"Do đó, việc gắn kết yếu tố bền vững đối với nhà cung cấp cũng như các dự án đầu tư giúp Bảo Việt tiến gần tới mục tiêu xây dựng chuỗi giá trị bền vững hơn, mang lại lợi ích cho Bảo Việt và tất cả các bên liên quan trong toàn bộ quá trình.",0,0,1,0
"Một mức lương công bằng có thể mang lại những lợi ích ngay lập tức, từ đó sẽ tác động đáng kể đến mỗi thành viên trong tổ chức và thúc đẩy tổng chi tiêu của đất nước cũng như tăng trưởng kinh tế về lâu dài.",0,0,1,0
"Từ những hiểu biết thu được từ việc nghiên cứu sự phát triển bền vững, sinh viên Vinschool đã chủ động và tận tâm dẫn dắt nhiều dự án môi trường và khí hậu ngoài phạm vi môn học của họ, đồng thời tích cực tham gia các cuộc thi uy tín về phát triển bền vững.",1,0,0,0
"""InterLOG đặt mục tiêu phổ biến mô hình ESG của InterLOG, nhằm tạo điều kiện cho việc áp dụng và lan truyền mô hình này sang các bên liên quan khác ở Việt Nam.""",0,0,0,1
Một trong những dự án tiêu biểu nhất là Dự án Rừng Trồng Cây Không Phát Thải Carbon của Vinamilk.,1,0,0,0
"Các chất thải được tạo ra trong nhà tắm có chứa nước thải do bể cầu, bể tiểu và bồn rửa xả vào.",1,0,0,0
"Nếu bất kỳ nhân viên nào bị phát hiện tham ô hoặc nhận hối lộ từ khách hàng hay nhà cung cấp, họ sẽ phải chịu sự xử lý kỷ luật nghiêm khắc và không có khoan nhượng đối với việc hối lộ, mua chuộc hay những lợi ích phi đạo đức khác nếu nó đi ngược lại quy định pháp luật, các chính sách của công ty, hoặc các tiêu chuẩn đạo đức ở bất cứ quốc gia nào chúng tôi hoạt động.",0,1,0,0
Toyota hiện đang chuyển đổi từ một công ty sản xuất xe hơi thành một nhà cung cấp các giải pháp giao thông để cho phép mọi người đi lại tự do hơn.,0,0,1,0
"Chi tiết về cơ cấu quản lý của Vinamilk có thể được tìm thấy ở trang 78 trong báo cáo hàng năm cho năm tài chính kết thúc vào ngày 31 tháng 12 năm 2023, bao gồm các hoạt động quản trị đáng chú ý.",0,1,0,0
"Chiến lược phát triển bền vững của PNJ bám sát Bộ khung 17 Mục tiêu Phát triển Bền vững (SDG) của Liên Hợp Quốc, Tiêu chuẩn GRI, Các mục tiêu Phát triển Bền vững Việt Nam, các kỳ vọng từ bên liên quan và tình trạng nội tại của doanh nghiệp.",1,0,0,0
"Kể từ tháng 10 năm 2023, chúng tôi sẽ bắt đầu một chương trình đào tạo tiếng Anh để giúp cải thiện kỹ năng giao tiếp của nhân viên và cung cấp dịch vụ khách hàng tốt hơn cho khách ngoại quốc.",0,0,1,0
"Đặc biệt là trong năm 2022, do tình hình đại dịch phức tạp phát sinh, gói bảo hiểm cho nhân viên của Tập đoàn cũng được bổ sung thêm nhiều điều khoản liên quan đến bệnh truyền nhiễm và theo đó, nếu một người lao động bị nhiễm COVID-19 thì họ sẽ nhận bồi thường.",0,0,1,0
Khuyến khích nhóm quản lý tự nguyện thực hiện các chương trình Phát triển cá nhân.,0,0,0,1
"Trong phạm vi báo cáo này, Coteccons chỉ thảo luận về quản lý rủi ro liên quan đến các vấn đề môi trường, xã hội và quản trị (ESG).",0,1,0,0
"Ngoài ra, nó còn thúc đẩy ý thức kỷ luật và khơi nguồn sáng tạo cá nhân trong doanh nghiệp.",0,0,1,0
Điều này đòi hỏi phải huy động được nguồn tài chính đa dạng và phong phú.,0,1,0,0
"Cùng với đó, các đại lý đang không ngừng cải tiến và tạo ra giải pháp để tiết kiệm nhiên liệu, giảm phát thải, giảm thiểu chất thải và giảm nước thải, đóng góp vào mục đích chung là bảo vệ môi trường.",1,0,0,0
"Bằng cách sử dụng sợi tái chế thay vì nguyên sinh, Công ty có thể giảm đáng kể lượng khí thải carbon (khoảng 79% so với sản phẩm sợi nguyên thủy).",1,0,0,0
"Năm 2023, có 191 cán bộ lãnh đạo cấp cơ sở và tương đương chiếm khoảng 11,7% tổng số nhân viên; hầu hết trong độ tuổi từ 30 đến 50 (92,67%).",0,1,0,0
"Bất chấp các vấn đề sức khoẻ, Bảo hiểm Y tế Xã hội (BHYT) và bảo hiểm y tế toàn dân (BHXH) thực sự là nguồn hỗ trợ kịp thời để người dân an tâm chữa bệnh, giảm nhẹ gánh nặng tài chính cho gia đình.",0,0,1,0
SSIAM không chỉ cố gắng tích hợp các yếu tố ESG trong các hoạt động kinh doanh chính mà còn hướng tới một môi trường xanh hơn và xã hội công bằng thông qua việc tham gia vào những hoạt động thúc đẩy nền kinh tế Việt Nam theo hướng phát triển bền vững.,0,0,1,0
"Hợp tác với các bên liên quan: Hợp tác với các bên liên quan bao gồm chính phủ, cộng đồng địa phương, tổ chức phi chính phủ (NGOs), trường đại học và cơ sở nghiên cứu để phát triển giải pháp sáng tạo và chia sẻ các thực tiễn tốt nhất, phù hợp với mục tiêu bền vững của Tập đoàn.",0,0,1,0
"Dưới đây là phiên bản đã sửa của câu này: ""Lợi nhuận ròng trong quý hiện tại đã tăng 20% so với cùng kỳ."" Trong câu đã sửa này, chúng tôi đã thực hiện các thay đổi sau đây: 1",0,0,0,1
"Câu này sẽ đảm bảo sự hài lòng về chất lượng cho người tiêu dùng, cũng như sự vượt trội trong chất lượng các sản phẩm của họ.",0,0,0,1
"Chúng tôi sử dụng dữ liệu ứng dụng để tăng cường tính minh bạch trong việc giám sát hiệu suất kinh doanh của mình, cho phép chúng ta phản ứng nhanh chóng và có chiến lược với những thay đổi trên thị trường.",0,1,0,0
"Công ty có các đề tài nghiên cứu khoa học được công nhận toàn cầu bởi các tổ chức uy tín như Tổ hợp sản phẩm DrAidTM, bao gồm cả Chẩn đoán và điều trị ung thư.",0,0,0,1
"Theo Nghị quyết của Đại hội đồng cổ đông (ĐHĐCĐ) năm 2020 và Hội đồng quản trị (HĐTV), Công ty dự định phát hành thêm 14 triệu cổ phần trong năm nay.",0,1,0,0
"""Các khoản nợ xấu là các khoản vay quá hạn trên sáu mươi (60) ngày và được xác định theo quyết định tái cơ cấu hoặc thu hồi nợ trước hạn của Ngân hàng Nhà nước do khách hàng vi phạm thỏa thuận với Ngân hàng chưa thực hiện việc tái cơ cấu hoặc trả lại tiền.""",0,0,1,0
Bà Nguyễn Thị Thu Hiền đã được bổ nhiệm làm Giám đốc Tài chính của Công ty TNHH Tập đoàn ABC từ tháng 1 năm 2008 cho đến ngày hôm nay.,0,0,0,1
"Nhờ đó, Công ty tạo ra các hệ thống bảng lương chi tiết cho từng cấp bậc nhân viên nhằm đảm bảo tuân thủ luật lao động và cạnh tranh trong thị trường lao động.",0,0,1,0
Hiệp hội Sức khỏe và An toàn Đường bộ Vương quốc Anh (RoSPA) đã giành chiến thắng trong nỗ lực của mình về an toàn đường bộ và chống tai nạn lần thứ tám liên tiếp.,0,0,1,0
"Để tạo ra một loại sữa lý tưởng được cân nhắc kỹ lưỡng, DSM hợp tác cùng các nhà sản xuất có tay nghề cao và giàu kinh nghiệm để mang lại cho khách hàng những lựa chọn an toàn với hàm lượng dinh dưỡng và vitamin phong phú trong Cách mạng Công nghiệp 4.0",0,0,1,0
"Trách nhiệm mở rộng của nhà sản xuất được áp đặt và các công ty phải tài trợ cho việc thu gom, phân loại và tái chế chất thải dệt may.",1,0,0,0
"Mặc dù tỷ lệ nam nữ lý tưởng là 50-50, nhưng ngành công nghiệp năng lượng có xu hướng đa dạng và độc đáo hơn nhiều.",0,0,1,0
"Chi phí và đầu tư để đảm bảo an toàn phải được tính toán trong tổng mức vốn của dự án, thông qua việc ký kết hợp đồng xây dựng giữa chủ đầu tư với các nhà thầu có uy tín.",0,0,0,1
"Sản phẩm có thời hạn thanh toán ngắn 5 năm nhưng vẫn được bảo hiểm tối đa 18 năm là giải pháp tài chính ưu việt cho phép cha mẹ tiết kiệm tiền để hỗ trợ kế hoạch học tập và sự nghiệp của con cái, đồng thời cung cấp các khoản bảo vệ cần thiết trước những rủi ro bất ngờ trong cuộc sống.",1,0,0,0
"Trong thế giới kỹ thuật số ngày nay, với nhóm đa chức năng có hiểu biết sâu rộng trong các lĩnh vực như phân tích dữ liệu, phát triển phần mềm và tự động hóa quy trình kinh doanh.",0,0,0,1
"Nhờ vào những thay đổi này, công ty đã giảm thiểu thành công việc sử dụng 720 chai nhựa hàng tháng.",0,0,0,1
"Câu đã sửa đổi là: ""tổ chức nghiên cứu trong lĩnh vực nhân lực lớn nhất Singapore.""",0,0,0,1
"Sau khi đi qua Chiller, nước cấp sẽ được đưa trở lại bể chứa nước lạnh để tái sử dụng.",0,0,0,1
"Sau khi trả tất cả cổ tức được xác định trước đó, Công ty sẽ đảm bảo rằng nó đã hoàn thành việc thanh toán đầy đủ đối với mọi khoản vay và trách nhiệm pháp lý liên quan khác đến hạn.",1,0,0,0
"QUY MÔ SẢN XUẤT: Công ty có hai nhà máy đặt tại Củ Chi và Trảng Bàng, tổng diện tích là 80.246 m2",0,0,0,1
"Ngoài ra, tôi thêm vào những năm quan trọng trong lịch sử của công ty (1973) và các ngành mà sản phẩm hiện đang phục vụ.",0,0,0,1
"Vào năm 2023, Bảo Việt đã thực hiện nhiều biện pháp khác nhau để cải thiện môi trường bằng cách ký hợp đồng với các nhà cung cấp dịch vụ quản lý chất thải và xử lý nước thải.",0,0,1,0
"Công ty áp dụng cơ chế quản lý rủi ro và tuân thủ trong công tác quản lý thuế để đảm bảo tuân thủ đúng các quy định của pháp luật về thuế đồng thời có biện pháp phòng chống, phát hiện và xử lý kịp thời mọi vấn đề mới phát sinh.",0,1,0,0
"Giai đoạn báo cáo là từ ngày 01 tháng 01 năm 2023 đến ngày 31 tháng mười hai, bản Báo cáo Phát triển bền vững của Bảo Việt trong năm 2021 tiếp tục tuân theo Bộ tiêu chuẩn lập Báo cáo phát triển bền vững quốc tế - GRI Sustainability Reporting Standards do Sáng kiến báo cáo toàn cầu ban hành.",1,0,0,0
"Các bên liên quan trong hoạt động kinh doanh và sản xuất của Tập đoàn là những cá nhân hoặc tổ chức có mối quan hệ hiện tại hoặc tiềm năng với công ty chúng tôi và chịu ảnh hưởng bởi các quyết định cũng như hành động của tập đoàn, bao gồm nhưng không giới hạn ở: Nhóm ảnh hưởng trực tiếp: Cơ quan quản lý Nhà nước, khách hàng, ngân hàng, người lao động.",0,0,1,0
"Câu đã được sửa là ""đã chia sẻ lợi ích của họ một cách công bằng với các thành viên trong cộng đồng.""",0,0,1,0
"Chuyển đổi ""gần 67 triệu USD"" thành ""gần 67 triệu đô la Mỹ"" để đồng nhất với đơn vị tiền tệ được sử dụng trước đó trong câu.",0,0,0,1
